system,query_id,latency_seconds,latency_p90_seconds,mrr,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20
TF-IDF,Q001,0.007897333001892548,0.012560558797849808,0.5,0.4,0.5,0.4144299250118475,0.2,0.5,0.4144299250118475,0.15,0.75,0.5143508315329828
TF-IDF,Q002,0.006886291994305793,0.006944366202515084,0.5,0.2,0.3333333333333333,0.2960819109658652,0.1,0.3333333333333333,0.2960819109658652,0.05,0.3333333333333333,0.2960819109658652
TF-IDF,Q003,0.007507082998927217,0.00837107519764686,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.08887792306803073
TF-IDF,Q004,0.0068694579967996106,0.010433733399258927,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q005,0.006961916995351203,0.010401458402338904,0.5,0.2,0.0625,0.21398626473452756,0.3,0.1875,0.2866919347890071,0.15,0.1875,0.21333149834605797
TF-IDF,Q006,0.006732125002599787,0.006868491201021243,0.16666666666666666,0.0,0.0,0.0,0.3,0.3333333333333333,0.2362220457557631,0.2,0.4444444444444444,0.2979566500220394
TF-IDF,Q007,0.006961874998523854,0.007046175001596567,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1111111111111111,0.05533181737932847
TF-IDF,Q008,0.0066316670054220594,0.006783307800651528,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3333333333333333,0.12325583919272352
TF-IDF,Q009,0.00671529199462384,0.006837250194803346,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q010,0.006666417000815272,0.006731908398796805,0.3333333333333333,0.4,0.6666666666666666,0.4367467095119258,0.3,1.0,0.6039071644781281,0.15,1.0,0.6039071644781281
TF-IDF,Q011,0.008013250000658445,0.008155458199325949,0.5,0.4,0.5,0.3973220069685352,0.3,0.75,0.5148381117249624,0.15,0.75,0.5148381117249624
TF-IDF,Q012,0.006772374996216968,0.006956233202072326,0.0013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q013,0.007185834001575131,0.007543016204726883,0.3333333333333333,0.2,0.3333333333333333,0.23463936301137822,0.2,0.6666666666666666,0.370291336443826,0.1,0.6666666666666666,0.370291336443826
TF-IDF,Q014,0.0066798330008168705,0.006830758196883835,0.1111111111111111,0.0,0.0,0.0,0.1,0.25,0.11751610475642714,0.15,0.75,0.33190545005976974
TF-IDF,Q015,0.0069552499990095384,0.007109209000191186,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q016,0.0067881249997299165,0.006889450400194619,0.1111111111111111,0.0,0.0,0.0,0.1,0.3333333333333333,0.14126697285982898,0.05,0.3333333333333333,0.14126697285982898
TF-IDF,Q017,0.0068401250027818605,0.007162841797980946,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3333333333333333,0.12325583919272352
TF-IDF,Q018,0.007080707997374702,0.0072853660050895995,0.14285714285714285,0.0,0.0,0.0,0.2,0.5,0.2476427880871277,0.1,0.5,0.2476427880871277
TF-IDF,Q019,0.006707916996674612,0.007082149999041576,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q020,0.006842250004410744,0.007447300197964068,0.25,0.2,0.3333333333333333,0.20210734650054757,0.2,0.6666666666666666,0.3501483019834802,0.15,1.0,0.47696531881587373
TF-IDF,Q021,0.006832584003859665,0.006968517001951113,0.3333333333333333,0.4,0.6666666666666666,0.4367467095119258,0.2,0.6666666666666666,0.4367467095119258,0.1,0.6666666666666666,0.4367467095119258
TF-IDF,Q022,0.0067048750061076134,0.006878749599854928,0.5,0.4,0.5,0.4144299250118475,0.4,1.0,0.6766372988929881,0.2,1.0,0.6766372988929881
TF-IDF,Q023,0.006770332998712547,0.006836392199329566,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q024,0.006871457997476682,0.006883116599055938,0.5,0.2,0.1111111111111111,0.21398626473452756,0.2,0.2222222222222222,0.21624063148843983,0.1,0.2222222222222222,0.21624063148843983
TF-IDF,Q025,0.006849915997008793,0.007067608804209158,0.5,0.4,0.6666666666666666,0.49818925746641285,0.2,0.6666666666666666,0.49818925746641285,0.1,0.6666666666666666,0.49818925746641285
TF-IDF,Q026,0.006793791995733045,0.006823949802492279,0.002898550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q027,0.00715491600567475,0.007490174802660477,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.08681077623592635
TF-IDF,Q028,0.007269916000950616,0.007511133997468278,0.125,0.0,0.0,0.0,0.1,0.125,0.07979453856244817,0.15,0.375,0.2079386491986086
TF-IDF,Q029,0.00662245800049277,0.007012291198770981,0.5,0.2,0.25,0.24630238874073,0.1,0.25,0.24630238874073,0.05,0.25,0.24630238874073
TF-IDF,Q030,0.006862582995381672,0.007005966399447061,0.2,0.2,0.25,0.15101961822780524,0.2,0.5,0.2741708125981702,0.1,0.5,0.2741708125981702
TF-IDF,Q031,0.006656666002527345,0.006681275001028553,0.5,0.4,0.6666666666666666,0.4776237035032179,0.2,0.6666666666666666,0.4776237035032179,0.1,0.6666666666666666,0.4776237035032179
TF-IDF,Q032,0.006648791000770871,0.006944116798695177,0.3333333333333333,0.4,0.6666666666666666,0.4367467095119258,0.3,1.0,0.5931729515195112,0.15,1.0,0.5931729515195112
TF-IDF,Q033,0.006622667002375238,0.006754374803858809,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3333333333333333,0.12325583919272352
TF-IDF,Q034,0.006634082994423807,0.006962357799056918,0.25,0.2,0.09090909090909091,0.14606834984270645,0.1,0.09090909090909091,0.09478836436955078,0.05,0.09090909090909091,0.08930562034683721
TF-IDF,Q035,0.006859709006675985,0.007041266797750722,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1111111111111111,0.054384419234677496
TF-IDF,Q036,0.006747916006133892,0.006897333398228511,0.5,0.2,0.3333333333333333,0.2960819109658652,0.3,1.0,0.5853898393086269,0.15,1.0,0.5853898393086269
TF-IDF,Q037,0.007080499999574386,0.007494674999907147,0.25,0.4,0.5,0.3191471544989227,0.3,0.75,0.4582033340096983,0.15,0.75,0.4582033340096983
TF-IDF,Q038,0.006967458000872284,0.007021433199406601,0.1111111111111111,0.0,0.0,0.0,0.1,0.3333333333333333,0.14126697285982898,0.05,0.3333333333333333,0.14126697285982898
TF-IDF,Q039,0.0069058329972904176,0.006949599998188205,0.5,0.2,0.25,0.24630238874073,0.2,0.5,0.3638184934971571,0.1,0.5,0.3638184934971571
TF-IDF,Q040,0.00690545800171094,0.007477742001356091,0.5,0.2,0.3333333333333333,0.2960819109658652,0.1,0.3333333333333333,0.2960819109658652,0.05,0.3333333333333333,0.2960819109658652
TF-IDF,Q041,0.006780625000828877,0.006920683203497901,0.1111111111111111,0.0,0.0,0.0,0.1,0.3333333333333333,0.14126697285982898,0.05,0.3333333333333333,0.14126697285982898
TF-IDF,Q042,0.006821666996984277,0.006947783601935953,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q043,0.006745999999111518,0.006924766801239457,0.5,0.2,0.1,0.21398626473452756,0.1,0.1,0.13886244387355454,0.05,0.1,0.13886244387355454
TF-IDF,Q044,0.006738083997333888,0.006944592003128492,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q045,0.007066999998642132,0.007502508600009605,0.004098360655737705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q046,0.007226417001220398,0.0074591918004443866,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q047,0.006805042001360562,0.0070213411978329535,0.5,0.4,0.25,0.36005461457723403,0.2,0.25,0.26852556974265224,0.1,0.25,0.26852556974265224
TF-IDF,Q048,0.006830416001321282,0.006867183599388227,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q049,0.0066937919982592575,0.006734000000869855,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q050,0.0069048750010551885,0.007239667203975841,0.5,0.2,0.3333333333333333,0.2960819109658652,0.1,0.3333333333333333,0.2960819109658652,0.05,0.3333333333333333,0.2960819109658652
TF-IDF,Q051,0.0072058340010698885,0.00733980839868309,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q052,0.006930750001629349,0.007195125201542396,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q053,0.006899708998389542,0.007309925198205747,0.5,0.2,0.25,0.24630238874073,0.1,0.25,0.24630238874073,0.05,0.25,0.24630238874073
TF-IDF,Q054,0.006631582997215446,0.006748574998346158,0.5,0.2,0.09090909090909091,0.21398626473452756,0.2,0.18181818181818182,0.21726071285222986,0.25,0.45454545454545453,0.3631730459121059
TF-IDF,Q055,0.006722291000187397,0.006988833204377443,0.5,0.2,0.25,0.24630238874073,0.2,0.5,0.3853585682515056,0.1,0.5,0.3853585682515056
TF-IDF,Q056,0.0066345839950372465,0.006705582997528836,0.3333333333333333,0.4,0.6666666666666666,0.4367467095119258,0.2,0.6666666666666666,0.4367467095119258,0.1,0.6666666666666666,0.4367467095119258
TF-IDF,Q057,0.006810499995481223,0.007142874799319543,0.2,0.2,0.2,0.13120507751234178,0.2,0.4,0.252016380211836,0.1,0.4,0.252016380211836
TF-IDF,Q058,0.006877374995383434,0.007291608402738348,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
